Name House_Number District City Income Tax_Paid
Erleena 182 Zuni Aleknagik 83744 Yes
Auburn 187 Wawaka Altoona 80418 Yes
ErvIn 144 Martville Airville 55146 Yes
Pawsner 180 Molalla Allenhurst 73992 No
Rust 55 Hawkinsville Airville 98383 Yes
Zenobia 80 Arion Agar 98854 No
Web 126 Lochloosa Aguada 52685 Yes
Geaghan 187 Wawaka Altoona 66343 No
Gunning 1 Closplint Altro 71803 Yes
Beka 151 Zuni Aleknagik 57449 No
Hoxsie 177 Molalla Allenhurst 62517 No
Ehud 190 Kampsville Almyra 58795 No
Karr 20 Chocorua Aguada 69147 No
Jun 193 Catoosa Almyra 59628 Yes
Bride 196 Arion Agar 72314 No
Freeborn 178 Arion Agar 70545 No
Mello 122 Lochloosa Allegan 96276 No
Pooi 5 Commack Alkol 79289 Yes
Manard 99 Chenoa Allegan 92589 Yes
Shirk 59 Gordonville Alderson 59525 No
Litt 70 Everson Allenhurst 66563 No
Procto 113 Delbarton Abbyville 56570 No
Anallese 33 Quarryville Aleknagik 70716 Yes
Crissie 192 Carrington Altro 94766 Yes
Mirilla 139 Everson Allenhurst 96840 No
Erastatus 115 Commack Alkol 74127 Yes
Urbanus 159 Towanda Altoona 65224 Yes
Nadaba 6 McDougal Almyra 83012 No
Archie 50 Daisy Aguada 93117 No
Riana 151 Zuni Aleknagik 75692 No
Jenne 134 Hawkinsville Airville 64757 No
Muscolo 87 Gordonville Alderson 53689 Yes
Hegarty 19 Streetsboro Airville 95214 Yes
Sigsmond 55 Hawkinsville Airville 60807 Yes
Jardena 142 Chocorua Aguada 77450 No
Blackstock 55 Hawkinsville Airville 85185 Yes
Paloma 64 Towanda Altoona 65875 No
Oran 191 Labolt Alamogordo 54050 No
Waldon 31 McDougal Almyra 68500 No
Kappenne 200 Humptulips Ailey 65417 Yes
Tayler 121 Chocorua Aguada 67862 No
Natalia 197 Vandyne Alamota 73286 No
Marigold 121 Chocorua Aguada 55170 No
Eta 43 Cottle Altamont 93873 Yes
Chara 189 Sonyea Aleknagik 70097 No
Whitehouse 125 Bobtown Allegan 62060 Yes
Herbert 87 Gordonville Alderson 64532 No
Maryellen 84 Blairsville Alamogordo 83703 Yes
Dailey 179 Mocksville Altamont 98107 Yes
Zales 191 Labolt Alamogordo 84815 Yes
Monahan 29 Everson Allenhurst 76838 No
Searby 85 Everson Aline 65021 No
Marilla 185 Howardstown Agar 69776 No
Baptlsta 52 Morganza Aline 75500 Yes
Denise 32 Lacoochee Abbyville 75430 Yes
Wiltsey 78 Pittsburg Alamogordo 71854 No
Nuriel 79 Bobtown Allegan 63029 No
Maxim 134 Humptulips Ailey 99171 Yes
Adrell 84 Blairsville Alamogordo 54165 No
Malchy 88 Streetsboro Airville 80124 No
Kermit 50 Towanda Altoona 58627 No
Pinsky 62 Lacoochee Abbyville 89979 No
Caz 134 Hawkinsville Airville 96464 Yes
Marje 5 Suffern Alkol 60083 Yes
Naam 65 Nittayuma Alamota 61159 No
Merridie 41 Daisy Aguada 73904 No
Narra 125 Bobtown Allegan 71982 Yes
Farly 49 Everson Allenhurst 66453 No
Tannen 88 Streetsboro Airville 62041 Yes
Isaak 192 Martville Airville 59522 No
Welsh 147 Sonyea Aleknagik 70718 Yes
Rochemont 85 Everson Aline 60708 No
Poll 99 Chenoa Allegan 77167 Yes
Coffeng 105 Howardstown Agar 65029 Yes
Jeconiah 147 Sonyea Aleknagik 54057 No
Sakhuja 87 Gordonville Alderson 96940 Yes
Ellswerth 115 Commack Alkol 77603 No
Hardunn 5 Commack Alkol 51775 No
Matthews 199 Chenoa Allegan 68872 No
Eachelle 64 Towanda Altoona 97195 Yes
Budge 190 Kampsville Almyra 81555 No
Brant 148 McDougal Almyra 55298 No
Sanchez 1 Quarryville Aleknagik 70793 No
Nord 60 Hartleton Ailey 90894 No
Cheatham 43 Cottle Altamont 72227 No
Scharaga 139 Everson Allenhurst 62838 Yes
Krystalle 29 Everson Allenhurst 85374 Yes
Hayse 21 Chocorua Aguada 73856 Yes
Maisel 148 McDougal Almyra 58416 Yes
Torruella 122 Lochloosa Allegan 91124 Yes
Wilkinson 196 Arion Agar 54497 No
Ylla 160 Daisy Aguada 72132 Yes
Krista 196 Arion Agar 75753 Yes
Lyndy 70 Everson Allenhurst 83389 No
Bruner 80 Arion Agar 84611 Yes
Genvieve 87 Chocorua Aguada 58513 Yes
Spillar 131 Morganza Aline 93124 Yes
Drucill 23 Zuni Aleknagik 94593 No
Devina 185 Howardstown Agar 52862 Yes
Carder 33 Closplint Altro 69231 Yes
Russell 33 Quarryville Aleknagik 69129 No
Wiskind 159 Daisy Aguada 90110 Yes
Mercorr 64 Towanda Altoona 51531 No
Pinter 65 Nittayuma Alamota 60157 Yes
Haleigh 139 Redway Aleppo 92677 No
Zerla 147 Sonyea Aleknagik 62915 Yes
Aramenta 189 Kingwood Ailey 80234 No
Neukam 81 Riesel Agar 99777 Yes
Evelyn 178 Arion Agar 96784 No
Duane 192 Martville Airville 86614 Yes
Kandy 52 Morganza Aline 73181 No
Davies 110 Closplint Altro 72041 No
Potts 29 Everson Allenhurst 60546 No
Morgana 40 Urich Aline 56143 No
Leda 143 Chocorua Aguada 71487 No
Lewison 130 Blairsville Alamogordo 82388 No
Durward 197 Catoosa Almyra 97638 Yes
Orling 197 Catoosa Almyra 97232 No
Derward 182 Zuni Aleknagik 55647 Yes
Renick 148 McDougal Almyra 76990 Yes
Tonye 189 Sonyea Aleknagik 72334 Yes
Sherry 59 Gordonville Alderson 84111 No
Tamar 50 Towanda Altoona 84227 Yes
Harneen 19 Streetsboro Airville 53589 Yes
Luz 192 Carrington Altro 83426 Yes
Taryn 21 Chocorua Aguada 58879 Yes
Beverle 187 Wawaka Altoona 64348 Yes
Gustafson 110 Chocorua Aguada 72214 No
Body 115 Commack Alkol 85803 No
Catharina 134 Hawkinsville Airville 83961 Yes
Frederique 200 Humptulips Ailey 90519 Yes
Lissak 110 Chocorua Aguada 90218 Yes
Joed 167 Esparto Altro 96179 No
Gunthar 39 Sonyea Aleknagik 94622 Yes
Batish 76 Everson Aline 59695 No
Walton 197 Catoosa Almyra 56438 No
Thirzi 195 Closplint Altro 73226 Yes
Horick 54 Sonyea Aleknagik 87095 No
Dippold 76 Everson Aline 50970 No
Borchert 49 Everson Allenhurst 67279 Yes
Rangel 76 Everson Aline 74585 No
Meletius 139 Redway Aleppo 51399 No
Jodi 50 Towanda Altoona 54580 No
Marisa 197 Catoosa Almyra 71125 Yes
Cornell 8 Miramonte Alkol 78552 No
Carlota 5 Commack Alkol 86163 No
Kraft 50 Daisy Aguada 58643 No
Eliga 21 Chocorua Aguada 75368 Yes
Victoria 139 Everson Allenhurst 60418 Yes
Belicia 189 Sonyea Aleknagik 81227 Yes
Kristina 84 Streetsboro Airville 99108 Yes
Deroo 33 Quarryville Aleknagik 75335 Yes
Flight 112 Gordonville Alderson 80509 Yes
Buroker 182 Zuni Aleknagik 88160 Yes
Gerri 1 Quarryville Aleknagik 52559 Yes
Bernie 181 Miramonte Alkol 94423 Yes
Angy 192 Martville Airville 83454 Yes
Clay 1 Closplint Altro 81487 No
Armond 177 Molalla Allenhurst 72556 Yes
Kantos 178 Pittsburg Alamogordo 50271 Yes
Hamer 170 Lacoochee Abbyville 89713 No
Clabo 170 Lacoochee Abbyville 55043 No
Maressa 39 Sonyea Aleknagik 88504 Yes
Placidia 78 Pittsburg Alamogordo 85373 Yes
Honan 149 McDougal Almyra 84412 Yes
Ching 64 Towanda Altoona 76661 No
Athalla 160 Daisy Aguada 55810 No
Stanwin 21 Chocorua Aguada 77649 Yes
Max 44 Humptulips Ailey 73200 No
Lansing 60 Hartleton Ailey 92395 Yes
Merton 39 Sonyea Aleknagik 86079 No
Rachael 32 Lacoochee Abbyville 63181 No
Ethelstan 50 Towanda Altoona 77412 Yes
Finbur 84 Streetsboro Airville 70441 Yes
Adalard 112 Gordonville Alderson 91789 No
Adora 133 Everson Allenhurst 81859 No
Theresa 115 Commack Alkol 84777 No
Kiehl 133 Everson Allenhurst 59959 No
Gent 32 Lacoochee Abbyville 51917 No
Perr 62 Lacoochee Abbyville 73192 Yes
Yates 200 Hawkinsville Airville 82725 No
Ardelle 112 Gordonville Alderson 54743 Yes
Leontyne 79 Bobtown Allegan 70760 Yes
Etti 84 Blairsville Alamogordo 86810 Yes
Joela 54 Sonyea Aleknagik 94440 Yes
Kylie 105 Molalla Allenhurst 66936 No
Tonl 170 Lacoochee Abbyville 67184 Yes
Moule 159 Daisy Aguada 57543 No
Kelsey 199 Chenoa Allegan 95137 Yes
Sicard 105 Howardstown Agar 62382 No
Kandace 41 Daisy Aguada 88804 No
Wicks 131 Morganza Aline 64245 No
Wiersma 40 Urich Aline 74948 Yes
Betteann 6 McDougal Almyra 94825 No
Hwu 5 Suffern Alkol 81804 No
Eberly 122 Lochloosa Allegan 72407 Yes
Illene 134 Hawkinsville Airville 87691 No
Alatea 144 Martville Airville 77256 Yes
Siobhan 19 Streetsboro Airville 76335 Yes
Calesta 49 Everson Allenhurst 86620 Yes
Darwen 147 Sonyea Aleknagik 74196 Yes
Tiebold 84 Streetsboro Airville 54936 Yes
Gaddi 159 Towanda Altoona 78585 Yes
Destinee 195 Closplint Altro 70839 Yes
Vial 5 Suffern Alkol 82297 Yes
Ernaldus 39 Sonyea Aleknagik 89375 Yes
Evers 167 Esparto Altro 97066 No
Lovett 88 Streetsboro Airville 62225 Yes
Gilda 143 Chocorua Aguada 63848 No
Oralla 143 Chocorua Aguada 69540 No
Turmel 87 Chocorua Aguada 99625 Yes
Eadwina 84 Blairsville Alamogordo 89126 Yes
Findlay 81 Riesel Agar 78588 Yes
Sello 142 Chocorua Aguada 81068 No
Christye 17 Quarryville Aleknagik 78666 No
Vani 159 Daisy Aguada 55789 Yes
Gunning 105 Molalla Allenhurst 56124 Yes
Ryley 64 Wawaka Altoona 94593 Yes
Jeni 149 McDougal Almyra 95485 No
Yokum 81 Riesel Agar 84522 Yes
Mariken 33 Quarryville Aleknagik 75748 No
Tolliver 8 Miramonte Alkol 86045 Yes
Wakefield 143 Chocorua Aguada 56115 No
Thetis 200 Humptulips Ailey 66548 Yes
Tybalt 17 Quarryville Aleknagik 64276 Yes
Luciana 110 Closplint Altro 50780 Yes
Tanner 191 Labolt Alamogordo 69104 No
Audsley 110 Chocorua Aguada 81343 No
Farrison 110 Chocorua Aguada 60054 No
Elsi 199 Chenoa Allegan 62724 Yes
Zarla 159 Towanda Altoona 90992 No
Bordy 134 Humptulips Ailey 99239 Yes
Liatris 178 Pittsburg Alamogordo 95739 No
Gyasi 126 Lochloosa Aguada 50987 Yes
Ahrendt 121 Chocorua Aguada 51704 No
Gord 200 Hawkinsville Airville 60131 No
Carin 60 Hartleton Ailey 82275 No
Elo 134 Humptulips Ailey 54827 Yes
Codding 43 Cottle Altamont 81911 No
Montagu 179 Mocksville Altamont 51840 Yes
Chrisse 167 Esparto Altro 61409 Yes
Dowd 139 Redway Aleppo 70555 No
Christina 130 Blairsville Alamogordo 75290 Yes
Wager 33 Closplint Altro 62159 Yes
Bac 1 Quarryville Aleknagik 53984 Yes
Scibert 84 Streetsboro Airville 68090 No
Feliks 192 Martville Airville 53975 Yes
Baese 139 Everson Allenhurst 51065 Yes
Marney 185 Howardstown Agar 92314 No
Leanard 28 Redway Aleppo 80416 No
Tina 177 Molalla Allenhurst 98813 No
Judye 105 Molalla Allenhurst 58276 Yes
Mathi 88 Streetsboro Airville 80776 Yes
Boylston 159 Towanda Altoona 92278 No
Materse 167 Esparto Altro 65719 No
Rowan 181 Miramonte Alkol 92726 Yes
Matheson 126 Lochloosa Aguada 99289 No
Attlee 62 Lacoochee Abbyville 71358 Yes
Autumn 33 Closplint Altro 93164 No
Ause 180 Molalla Allenhurst 67978 No
